# wavelength, S, M, L
5.140000000000000000e+02,2.034022169192302443e-02,7.058256429294991197e-01,5.042292517650039940e-01
5.150000000000000000e+02,1.872538989272708870e-02,7.243479033247470777e-01,5.209590578546356987e-01
5.160000000000000000e+02,1.721408966049363387e-02,7.420653865276579664e-01,5.372822874179551400e-01
5.170000000000000000e+02,1.580318604708245978e-02,7.589315478278612082e-01,5.531542434216316639e-01
5.180000000000000000e+02,1.449076673640772688e-02,7.749945763754045869e-01,5.685991668318319814e-01
5.190000000000000000e+02,1.327431992755947164e-02,7.903334996491073738e-01,5.836653447251919369e-01
5.200000000000000000e+02,1.214968116661761625e-02,8.049848665001528847e-01,5.983713642459507209e-01
5.210000000000000000e+02,1.111261041937015165e-02,8.190123391830289590e-01,6.127571617824405514e-01
5.220000000000000000e+02,1.015879740331354988e-02,8.325077017856464812e-01,6.268854456115239282e-01
5.230000000000000000e+02,9.283663976585990185e-03,8.455722402218889266e-01,6.408282766192414659e-01
5.240000000000000000e+02,8.482285188311405530e-03,8.582963028337162736e-01,6.546517254522294937e-01
5.250000000000000000e+02,7.749749787361102753e-03,8.707773610924407492e-01,6.684294907900034666e-01
5.260000000000000000e+02,7.081062905399812361e-03,8.830993001721990643e-01,6.822271010162553884e-01
5.270000000000000000e+02,6.469629601384275022e-03,8.951040028534921200e-01,6.959240237478055979e-01
5.280000000000000000e+02,5.909414554025440962e-03,9.065627576614659899e-01,7.093581654234454303e-01
5.290000000000000000e+02,5.395194799566471050e-03,9.169583791063274925e-01,7.223564364850871833e-01
5.300000000000000000e+02,4.922556259232888434e-03,9.266373919118735536e-01,7.347524810066042855e-01
5.310000000000000000e+02,4.487744297335757686e-03,9.354239227535875445e-01,7.463892550151738359e-01
5.320000000000000000e+02,4.088952682976480790e-03,9.434579636928736024e-01,7.573832804206241942e-01
5.330000000000000000e+02,3.723960766159003111e-03,9.502708868792720809e-01,7.678090509302791800e-01
5.340000000000000000e+02,3.391012395363740117e-03,9.564516819616993848e-01,7.778556740743319819e-01
5.350000000000000000e+02,3.087997596793062762e-03,9.621820696862669609e-01,7.876697155016331164e-01
5.360000000000000000e+02,2.812740442574683704e-03,9.676266479428322631e-01,7.973877863517142561e-01
5.370000000000000000e+02,2.562649078504713757e-03,9.727747545478317992e-01,8.070050103873098735e-01
5.380000000000000000e+02,2.335268815328465919e-03,9.775705260220984849e-01,8.164788632610964214e-01
5.390000000000000000e+02,2.128404676518492675e-03,9.819571158877676842e-01,8.257650441024120269e-01
5.400000000000000000e+02,1.940136529875683986e-03,9.858996010357491402e-01,8.348367701531190788e-01
5.410000000000000000e+02,1.768651188280641719e-03,9.893172764946369657e-01,8.436276096567183469e-01
5.420000000000000000e+02,1.612518912077461368e-03,9.922430652125050488e-01,8.521669239278985009e-01
5.430000000000000000e+02,1.470350851663240624e-03,9.946649875479472991e-01,8.604461271545609247e-01
5.440000000000000000e+02,1.340977124187666585e-03,9.966402774775093842e-01,8.685167095506817203e-01
5.450000000000000000e+02,1.223225680766141035e-03,9.981580509258154432e-01,8.763718683940178167e-01
5.460000000000000000e+02,1.116058979595134027e-03,9.992307052627191766e-01,8.840251376521703897e-01
5.470000000000000000e+02,1.018505684583995673e-03,9.998479973293372680e-01,8.914701874937059900e-01
5.480000000000000000e+02,9.296850884528948299e-04,1.000000000000000000e+00,8.987006329558517859e-01
5.490000000000000000e+02,8.487399369130738634e-04,9.996081053935317318e-01,9.056474682672603915e-01
5.500000000000000000e+02,7.749790750206147962e-04,9.986863660321078084e-01,9.123238023849016276e-01
5.510000000000000000e+02,7.075742470170169607e-04,9.969738966465256924e-01,9.184895557223038409e-01
5.520000000000000000e+02,6.462355454925160616e-04,9.948541269956741040e-01,9.244946719725817275e-01
5.530000000000000000e+02,5.903593903297203044e-04,9.922509579008029768e-01,9.302700864450185181e-01
5.540000000000000000e+02,5.394347181458598222e-04,9.891351211001271349e-01,9.357881131941215846e-01
5.550000000000000000e+02,4.929785567326285672e-04,9.854329849917011774e-01,9.409771532874398048e-01
5.560000000000000000e+02,4.505819268419404642e-04,9.811180936788703733e-01,9.458077554365770245e-01
5.570000000000000000e+02,4.119039530406661096e-04,9.762329901324712234e-01,9.502647328932217752e-01
5.580000000000000000e+02,3.766469178903297278e-04,9.708651751280310549e-01,9.542092349303017418e-01
5.590000000000000000e+02,3.445314893357158533e-04,9.651011293553855008e-01,9.582111593082929257e-01
5.600000000000000000e+02,3.152965504675025923e-04,9.590259605904425388e-01,9.623597340389443699e-01
5.610000000000000000e+02,2.886855405064849521e-04,9.526792508091594947e-01,9.667012445363840634e-01
5.620000000000000000e+02,2.644454219980048250e-04,9.460345697248876418e-01,9.706455354813573466e-01
5.630000000000000000e+02,2.423382421547681440e-04,9.390234018065005683e-01,9.744435755008059585e-01
5.640000000000000000e+02,2.221633321772044649e-04,9.316227606368552294e-01,9.780791759435663035e-01
5.650000000000000000e+02,2.037309277047540839e-04,9.237686052334418418e-01,9.814783079758524487e-01
5.660000000000000000e+02,1.868767655235091844e-04,9.154211132362826131e-01,9.845884846903615317e-01
5.670000000000000000e+02,1.714616545894355839e-04,9.065848886783972604e-01,9.874020148805197072e-01
5.680000000000000000e+02,1.573626439595683158e-04,8.972863966117573531e-01,9.899339386899260740e-01
5.690000000000000000e+02,1.444603860741734810e-04,8.875115404353642878e-01,9.921537655193709559e-01
5.700000000000000000e+02,1.326593732248756519e-04,8.773291163536620640e-01,9.941223188602259508e-01
5.710000000000000000e+02,1.218593031374008554e-04,8.667263641986719946e-01,9.958091595840359300e-01
5.720000000000000000e+02,1.119722859747138849e-04,8.557122621831579901e-01,9.972065755309355017e-01
5.730000000000000000e+02,1.029207684736295226e-04,8.443162928108151055e-01,9.983297976047963429e-01
5.740000000000000000e+02,9.463147821257805292e-05,8.325487262748624273e-01,9.991711070781147397e-01
5.750000000000000000e+02,8.703778999203920627e-05,8.204207979230304648e-01,9.997227518882851882e-01
5.760000000000000000e+02,8.008094786688223893e-05,8.079632828558712676e-01,1.000000000000000000e+00
5.770000000000000000e+02,7.370198055281944663e-05,7.951517516166941579e-01,9.999490658961711631e-01
5.780000000000000000e+02,6.784802264592806583e-05,7.819650143572811629e-01,9.995162460720017350e-01
5.790000000000000000e+02,6.247162295194242320e-05,7.683852394985181133e-01,9.986481203053881872e-01
5.800000000000000000e+02,5.753146170464269353e-05,7.544154402529347214e-01,9.973147465863388961e-01
5.810000000000000000e+02,5.299007319036259001e-05,7.400608891238371623e-01,9.954867861084196745e-01
5.820000000000000000e+02,4.881458297323016608e-05,7.253458280375403300e-01,9.931585311637979308e-01
5.830000000000000000e+02,4.497695596610629457e-05,7.103280878115790786e-01,9.903705483952567334e-01
5.840000000000000000e+02,4.145103721525159171e-05,6.950634674910298738e-01,9.871635187562326497e-01
5.850000000000000000e+02,3.821246610174269820e-05,6.796055338432309689e-01,9.835780821852544431e-01
5.860000000000000000e+02,3.523777706730288703e-05,6.639901665770121530e-01,9.796321415531522581e-01
5.870000000000000000e+02,3.250462530706127017e-05,6.482372366386928153e-01,9.753212311861219064e-01
5.880000000000000000e+02,2.999400758847241684e-05,6.323960306842788537e-01,9.706860639120725720e-01
5.890000000000000000e+02,2.768572817964755134e-05,6.164563619528345972e-01,9.656780068419520413e-01
5.900000000000000000e+02,2.556459828682646436e-05,6.004802912418871763e-01,9.603604353855784703e-01
5.910000000000000000e+02,2.361418769244887138e-05,5.844717609314969975e-01,9.547078214783861760e-01
5.920000000000000000e+02,2.181762697376369298e-05,5.683839187153361117e-01,9.486083035253012330e-01
5.930000000000000000e+02,2.016192172600430745e-05,5.522282366776255502e-01,9.420403394471162928e-01
5.940000000000000000e+02,1.863269587177038693e-05,5.359436368565452247e-01,9.348547421436306237e-01
5.950000000000000000e+02,1.721941026925435608e-05,5.195393306029832958e-01,9.270149870838125805e-01
5.960000000000000000e+02,1.591215895516336911e-05,5.030158819231154155e-01,9.184664614315047881e-01
5.970000000000000000e+02,1.470441158027702325e-05,4.864566328879127433e-01,9.093053276799438756e-01
5.980000000000000000e+02,1.359074769107231846e-05,4.699709523781019915e-01,8.996882257026396212e-01
5.990000000000000000e+02,1.256509163874475852e-05,4.536362534391342738e-01,8.897258567477409619e-01
6.000000000000000000e+02,1.162181706569782790e-05,4.375320587330371880e-01,8.795454657362044015e-01
6.010000000000000000e+02,1.075518610509592463e-05,4.217189291294735631e-01,8.692492899903091486e-01
6.020000000000000000e+02,9.957648712658292677e-06,4.061657579403011864e-01,8.587573249474811377e-01
6.030000000000000000e+02,9.222318311372002284e-06,3.908378926837418610e-01,8.479744046676190861e-01
6.040000000000000000e+02,8.543529250057076930e-06,3.757245614109760434e-01,8.368494991259458615e-01
6.050000000000000000e+02,7.915491222293227124e-06,3.607852844962242678e-01,8.252594006175691943e-01
6.060000000000000000e+02,7.334005901948557170e-06,3.460281603508196246e-01,8.131830204628984760e-01
6.070000000000000000e+02,6.795742703252176540e-06,3.314858213701967204e-01,8.006579980530311724e-01
6.080000000000000000e+02,6.298024666772546560e-06,3.172102937713318638e-01,7.877763738052696585e-01
6.090000000000000000e+02,5.837985540797462364e-06,3.032332176007956903e-01,7.745906842455370089e-01
6.100000000000000000e+02,5.413054176171577220e-06,2.895891940763858918e-01,7.611692931360840575e-01
6.110000000000000000e+02,5.020788283522208749e-06,2.763079826163888364e-01,7.475774382212578839e-01
6.120000000000000000e+02,4.658339070500610444e-06,2.633843743923098835e-01,7.337925696827714006e-01
6.130000000000000000e+02,4.323141179185554148e-06,2.508145128827229398e-01,7.197951001379957470e-01
6.140000000000000000e+02,4.012881688654901953e-06,2.385956959293038526e-01,7.055684560839314834e-01
6.150000000000000000e+02,3.725301209530715036e-06,2.267157414421436257e-01,6.910673041711097309e-01
6.160000000000000000e+02,3.458629319419073745e-06,2.151802289437634019e-01,6.762988625281957100e-01
6.170000000000000000e+02,3.211468906563257586e-06,2.040082955323263281e-01,6.613178804078186923e-01
6.180000000000000000e+02,2.982359505490233430e-06,1.932065649343924774e-01,6.461469765518094155e-01
6.190000000000000000e+02,2.770016338267542479e-06,1.827843472558748072e-01,6.308235887933686392e-01
6.200000000000000000e+02,2.573417376545953956e-06,1.727604538077220642e-01,6.154264672882424625e-01
6.210000000000000000e+02,2.391350248684976521e-06,1.631336930403023688e-01,5.999735392256033695e-01
6.220000000000000000e+02,2.222750488659260240e-06,1.539052429253111864e-01,5.844962366938422083e-01
6.230000000000000000e+02,2.066675584668125609e-06,1.450776805388261370e-01,5.690376721665639792e-01
6.240000000000000000e+02,1.922195166921060697e-06,1.366478633278686017e-01,5.536253311845362735e-01
6.250000000000000000e+02,1.788486806227137500e-06,1.286140175882336811e-01,5.382976185650911738e-01
6.260000000000000000e+02,1.664702385071423929e-06,1.209666537583725388e-01,5.230659636357196662e-01
6.270000000000000000e+02,1.550063821035576802e-06,1.136957160543892870e-01,5.079417198866205130e-01
6.280000000000000000e+02,1.443724056503693710e-06,1.067808120710201647e-01,4.928907482116702821e-01
6.290000000000000000e+02,1.345054751461309727e-06,1.002127628646316548e-01,4.779283194481235841e-01
6.300000000000000000e+02,1.253390541370556195e-06,9.397534368428508977e-02,4.630375208539598275e-01
6.310000000000000000e+02,1.168188884891578418e-06,8.805754336191132237e-02,4.482259389132525751e-01
6.320000000000000000e+02,1.088978893373918098e-06,8.245023853917916867e-02,4.335121884406639703e-01
6.330000000000000000e+02,1.015371858479988619e-06,7.714737451731785989e-02,4.189338088545985217e-01
6.340000000000000000e+02,9.469991395506960849e-07,7.214157491261515009e-02,4.045252655906556583e-01
6.350000000000000000e+02,8.834711763156770432e-07,6.742125065912171755e-02,3.903000093046932184e-01
6.360000000000000000e+02,8.244665968290060319e-07,6.297762487240884943e-02,3.762884121746876698e-01
6.370000000000000000e+02,7.695753793787107129e-07,5.879300478533512619e-02,3.624677831675072737e-01
6.380000000000000000e+02,7.184660174477600967e-07,5.485378060139962236e-02,3.488360912101843292e-01
6.390000000000000000e+02,6.707764567012297088e-07,5.114234006602646349e-02,3.353623137536206888e-01
6.400000000000000000e+02,6.262467067017417580e-07,4.764740727529172964e-02,3.220517458443610814e-01
6.410000000000000000e+02,5.846267921074942757e-07,4.435718975799635838e-02,3.089040811677954967e-01
6.420000000000000000e+02,5.457542745688841282e-07,4.126540769226675481e-02,2.959556317219465549e-01
6.430000000000000000e+02,5.094837161652399948e-07,3.836602084257632189e-02,2.832456914169276252e-01
6.440000000000000000e+02,4.756721868848603922e-07,3.565224068300378718e-02,2.708088994246111159e-01
6.450000000000000000e+02,4.441902932066658349e-07,3.311746600415742259e-02,2.586813239817137844e-01
6.460000000000000000e+02,4.148907839365393551e-07,3.075304229347076632e-02,2.468822136414046409e-01
6.470000000000000000e+02,3.876336751744798678e-07,2.855025976245942690e-02,2.354277500828432790e-01
6.480000000000000000e+02,3.622778379935469104e-07,2.649982779213684927e-02,2.243260208750243734e-01
6.490000000000000000e+02,3.386913993142511458e-07,2.459273302352499996e-02,2.135833240218645568e-01
6.500000000000000000e+02,3.167584980227969288e-07,2.282079450362080320e-02,2.032089220321121603e-01
6.510000000000000000e+02,2.963559608377710100e-07,2.117503439600399925e-02,1.932006245370444519e-01
6.520000000000000000e+02,2.773511210794811996e-07,1.964562141915377272e-02,1.835429525198353506e-01
6.530000000000000000e+02,2.596370297458356282e-07,1.822444383345838900e-02,1.742304168946744169e-01
6.540000000000000000e+02,2.430935146080937707e-07,1.690238332041618663e-02,1.652423947593656128e-01
6.550000000000000000e+02,2.276301253230894789e-07,1.567237237322643625e-02,1.565722940067087177e-01
6.560000000000000000e+02,2.131647138960964650e-07,1.452788355620841972e-02,1.482140842876522868e-01
6.570000000000000000e+02,1.996271915910890476e-07,1.346319553363256767e-02,1.401654103155294817e-01
6.580000000000000000e+02,1.869573234332913710e-07,1.247323878822465155e-02,1.324265957627911439e-01
6.590000000000000000e+02,1.751069028245042493e-07,1.155373475421529218e-02,1.250026400909317326e-01
6.600000000000000000e+02,1.640218277552684871e-07,1.070000863147350066e-02,1.178907743111495682e-01
6.610000000000000000e+02,1.536339616673330301e-07,9.906509611260645373e-03,1.110745546284103435e-01
6.620000000000000000e+02,1.439327490381258912e-07,9.171448932845063795e-03,1.045758264880217447e-01
6.630000000000000000e+02,1.348709525549661949e-07,8.490664246105679436e-03,9.838710485194154809e-02
6.640000000000000000e+02,1.264047076161259113e-07,7.860265715630355282e-03,9.250042069542786793e-02
6.650000000000000000e+02,1.184932765662111872e-07,7.276621649975030005e-03,8.690738216882548661e-02
6.660000000000000000e+02,1.110988112570573045e-07,6.736344398097847234e-03,8.159923594864199048e-02
6.670000000000000000e+02,1.041861483677814922e-07,6.236276586943294113e-03,7.656692809746422357e-02
6.680000000000000000e+02,9.772260537710627198e-08,5.773477759768554443e-03,7.180116379615927857e-02
6.690000000000000000e+02,9.167780296462027636e-08,5.345211461979280237e-03,6.729246536639427179e-02
6.700000000000000000e+02,8.602349378074772594e-08,4.948932809901311451e-03,6.303122806451787186e-02
6.710000000000000000e+02,8.073341398122189364e-08,4.582276567968724713e-03,5.900777319690876654e-02
6.720000000000000000e+02,7.578312783375653480e-08,4.243045751185440216e-03,5.521239817959707613e-02
6.730000000000000000e+02,7.114990896507058401e-08,3.929200762272667610e-03,5.163542323917802435e-02
6.740000000000000000e+02,6.681260676378597109e-08,3.638849066596094081e-03,4.826723452564202904e-02
6.750000000000000000e+02,6.275153471527866178e-08,3.370235402627294423e-03,4.509832347899778854e-02
6.760000000000000000e+02,5.894836858534080565e-08,3.121732521262108890e-03,4.211932235896249932e-02
6.770000000000000000e+02,5.538604908058006689e-08,2.891832443677666651e-03,3.932103590930245696e-02
6.780000000000000000e+02,5.204868629545916489e-08,2.679138224484475025e-03,3.669446918473651814e-02
6.790000000000000000e+02,4.892147972865034103e-08,2.482356204619541162e-03,3.423085161806618815e-02
6.800000000000000000e+02,4.599064164174642537e-08,2.300288736659915519e-03,3.192165744797410137e-02
6.810000000000000000e+02,4.324332380286948242e-08,2.131827363943801946e-03,2.975862266369942374e-02
6.820000000000000000e+02,4.066755318374973291e-08,1.975946433986205172e-03,2.773375865162681919e-02
6.830000000000000000e+02,3.825216702479299944e-08,1.831697126132779321e-03,2.583936275098685023e-02
6.840000000000000000e+02,3.598675696705600533e-08,1.698201873122271843e-03,2.406802594181513960e-02
6.850000000000000000e+02,3.386161818762955013e-08,1.574649156219991601e-03,2.241263789854753066e-02
6.860000000000000000e+02,3.186769803670811257e-08,1.460288653755927122e-03,2.086638964773004923e-02
6.870000000000000000e+02,2.999654974288823373e-08,1.354426723241567050e-03,1.942277406894205027e-02
6.880000000000000000e+02,2.824029542440392741e-08,1.256422197715365225e-03,1.807558447477776442e-02
6.890000000000000000e+02,2.659157896592607703e-08,1.165682477536998142e-03,1.681891149927757997e-02
