Degree: 4, Macular: 0.908875, OD: 0.3875
wavelength,sensitivity
400,0.05177492772444745
401,0.06096800846233635
402,0.07157272635846625
403,0.0837233629825703
404,0.09754030340726676
405,0.11311877675427186
406,0.13052644094710877
407,0.14981166511226376
408,0.17099687141975786
409,0.19404316090391596
410,0.21886482053906237
411,0.24531823372028133
412,0.273279912119604
413,0.3026017222731767
414,0.33311880583048853
415,0.3646420818249757
416,0.39694109330869337
417,0.42959395365629505
418,0.46182907531265743
419,0.49346358744992425
420,0.5239514506400319
421,0.5524972337004204
422,0.579248704348238
423,0.6048689406214082
424,0.6300630918462057
425,0.6555847756764687
426,0.68210990221646
427,0.7092925960757565
428,0.7365308534423669
429,0.7632198893545694
430,0.7886406715657971
431,0.8123352350720032
432,0.8346157301258526
433,0.8559591924950767
434,0.8769349335348603
435,0.8981005671278722
436,0.9197492226827938
437,0.9410174081612592
438,0.9606887238217794
439,0.9774889091569354
440,0.9900643987059937
441,0.9974088841567423
442,1.0
443,0.9987715745519101
444,0.9947092627211093
445,0.9888036088530255
446,0.9818510129036655
447,0.9736860642680361
448,0.9639600602462902
449,0.9523322929251268
450,0.938538741684764
451,0.9224729836609202
452,0.9045742755993097
453,0.8854637790058362
454,0.8656726945978994
455,0.8457338688440188
456,0.8261228424418083
457,0.8071757076613114
458,0.7891994691800273
459,0.772486724366835
460,0.7572919925240548
461,0.7437085849866906
462,0.7312049513469489
463,0.7192123656741091
464,0.7071509809918369
465,0.6944711673637597
466,0.680779753082653
467,0.6660648234569424
468,0.6504319050150846
469,0.6339855561048972
470,0.616814613210449
471,0.5989914940073027
472,0.5804735272184449
473,0.5612569526322327
474,0.5413035336991169
475,0.5206423971276023
476,0.4993441544312994
477,0.47756853190055637
478,0.4555283964267951
479,0.4334222814332495
480,0.4114262869610094
481,0.38971972342326117
482,0.3684753908145542
483,0.3478616850346374
484,0.3279842935589525
485,0.3089704561617809
486,0.2908725824644089
487,0.27371239999078917
488,0.25747342394315675
489,0.24214762450879412
490,0.22770405854894515
491,0.21412686115177057
492,0.20141541621343434
493,0.18955463373673517
494,0.17853587967975124
