wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,2.6640000000000003e-01
3.8400000000000000e+02,3.4880000000000000e-07,2.6640000000000003e-01
3.8800000000000000e+02,3.1210000000000000e-07,2.6640000000000003e-01
3.9200000000000000e+02,2.8120000000000000e-07,2.6640000000000003e-01
3.9600000000000000e+02,2.4870000000000000e-07,2.6640000000000003e-01
4.0000000000000000e+02,2.8040000000000000e-07,2.6640000000000003e-01
4.0400000000000000e+02,4.2160000000000002e-07,2.6640000000000003e-01
4.0800000000000000e+02,3.9859999999999998e-07,2.6640000000000003e-01
4.1200000000000000e+02,1.0860000000000001e-06,2.6640000000000003e-01
4.1600000000000000e+02,3.0539999999999999e-06,2.6640000000000003e-01
4.2000000000000000e+02,6.0809999999999999e-06,2.6640000000000003e-01
4.2400000000000000e+02,1.3879999999999999e-05,2.6640000000000003e-01
4.2800000000000000e+02,2.6520000000000000e-05,2.6640000000000003e-01
4.3200000000000000e+02,4.7849999999999998e-05,2.6640000000000003e-01
4.3600000000000000e+02,8.0340000000000007e-05,2.6640000000000003e-01
4.4000000000000000e+02,1.2909999999999999e-04,2.6640000000000003e-01
4.4400000000000000e+02,1.9730000000000000e-04,2.6640000000000003e-01
4.4800000000000000e+02,2.6130000000000001e-04,2.6640000000000003e-01
4.5200000000000000e+02,2.6620000000000002e-04,2.6640000000000003e-01
4.5600000000000000e+02,2.1269999999999999e-04,2.6640000000000003e-01
4.6000000000000000e+02,1.4960000000000000e-04,2.6640000000000003e-01
4.6400000000000000e+02,1.0420000000000000e-04,2.6640000000000003e-01
4.6800000000000000e+02,7.2890000000000002e-05,2.6640000000000003e-01
4.7200000000000000e+02,4.7670000000000003e-05,2.6640000000000003e-01
4.7600000000000000e+02,2.8710000000000001e-05,2.6640000000000003e-01
4.8000000000000000e+02,1.9610000000000000e-05,2.6640000000000003e-01
4.8400000000000000e+02,1.3010000000000001e-05,2.6640000000000003e-01
4.8800000000000000e+02,8.6619999999999994e-06,2.6640000000000003e-01
4.9200000000000000e+02,6.0610000000000001e-06,2.6640000000000003e-01
4.9600000000000000e+02,3.9099999999999998e-06,2.6640000000000003e-01
5.0000000000000000e+02,2.7839999999999999e-06,2.6640000000000003e-01
5.0400000000000000e+02,1.9340000000000000e-06,2.6640000000000003e-01
5.0800000000000000e+02,1.3790000000000001e-06,2.6640000000000003e-01
5.1200000000000000e+02,1.4479999999999999e-06,2.6640000000000003e-01
5.1600000000000000e+02,1.1470000000000000e-06,2.6640000000000003e-01
5.2000000000000000e+02,1.4030000000000000e-06,2.6640000000000003e-01
5.2400000000000000e+02,1.4690000000000000e-06,2.6640000000000003e-01
5.2800000000000000e+02,1.3190000000000000e-06,2.6640000000000003e-01
5.3200000000000000e+02,1.1140000000000000e-06,2.6640000000000003e-01
5.3600000000000000e+02,1.0249999999999999e-06,2.6640000000000003e-01
5.4000000000000000e+02,6.0810000000000005e-07,2.6640000000000003e-01
5.4400000000000000e+02,5.3610000000000004e-07,2.6640000000000003e-01
5.4800000000000000e+02,4.6139999999999999e-07,2.6640000000000003e-01
5.5200000000000000e+02,3.9460000000000000e-07,2.6640000000000003e-01
5.5600000000000000e+02,2.0709999999999999e-07,2.6640000000000003e-01
5.6000000000000000e+02,5.7189999999999998e-07,2.6640000000000003e-01
5.6400000000000000e+02,2.2130000000000000e-07,2.6640000000000003e-01
5.6800000000000000e+02,3.0569999999999999e-07,2.6640000000000003e-01
5.7200000000000000e+02,3.5479999999999997e-07,2.6640000000000003e-01
5.7600000000000000e+02,2.4439999999999999e-07,2.6640000000000003e-01
5.8000000000000000e+02,6.7059999999999998e-07,2.6640000000000003e-01
5.8400000000000000e+02,2.5919999999999999e-07,2.6640000000000003e-01
5.8800000000000000e+02,2.6679999999999998e-07,2.6640000000000003e-01
5.9200000000000000e+02,2.7469999999999999e-07,2.6640000000000003e-01
5.9600000000000000e+02,2.8299999999999998e-07,2.6640000000000003e-01
6.0000000000000000e+02,2.9170000000000000e-07,2.6640000000000003e-01
6.0400000000000000e+02,3.0110000000000002e-07,2.6640000000000003e-01
6.0800000000000000e+02,3.1030000000000002e-07,2.6640000000000003e-01
6.1200000000000000e+02,3.1969999999999998e-07,2.6640000000000003e-01
6.1600000000000000e+02,3.2930000000000002e-07,2.6640000000000003e-01
6.2000000000000000e+02,3.3929999999999997e-07,2.6640000000000003e-01
6.2400000000000000e+02,3.4970000000000001e-07,2.6640000000000003e-01
6.2800000000000000e+02,3.5979999999999998e-07,2.6640000000000003e-01
6.3200000000000000e+02,6.0640000000000003e-07,2.6640000000000003e-01
6.3600000000000000e+02,1.0710000000000000e-06,2.6640000000000003e-01
6.4000000000000000e+02,7.0859999999999998e-07,2.6640000000000003e-01
6.4400000000000000e+02,4.0190000000000002e-07,2.6640000000000003e-01
6.4800000000000000e+02,4.1279999999999999e-07,2.6640000000000003e-01
6.5200000000000000e+02,4.2380000000000002e-07,2.6640000000000003e-01
6.5600000000000000e+02,4.3550000000000000e-07,2.6640000000000003e-01
6.6000000000000000e+02,4.4719999999999998e-07,2.6640000000000003e-01
6.6400000000000000e+02,4.5950000000000001e-07,2.6640000000000003e-01
6.6800000000000000e+02,4.7199999999999999e-07,2.6640000000000003e-01
6.7200000000000000e+02,4.8640000000000001e-07,2.6640000000000003e-01
6.7600000000000000e+02,5.0220000000000004e-07,2.6640000000000003e-01
6.8000000000000000e+02,5.1900000000000003e-07,2.6640000000000003e-01
6.8400000000000000e+02,5.3769999999999995e-07,2.6640000000000003e-01
6.8800000000000000e+02,5.5970000000000002e-07,2.6640000000000003e-01
6.9200000000000000e+02,5.8469999999999999e-07,2.6640000000000003e-01
6.9600000000000000e+02,6.1080000000000004e-07,2.6640000000000003e-01
7.0000000000000000e+02,6.3929999999999996e-07,2.6640000000000003e-01
7.0400000000000000e+02,6.7179999999999997e-07,2.6640000000000003e-01
7.0800000000000000e+02,7.0900000000000001e-07,2.6640000000000003e-01
7.1200000000000000e+02,7.4730000000000003e-07,2.6640000000000003e-01
7.1600000000000000e+02,7.9029999999999998e-07,2.6640000000000003e-01
7.2000000000000000e+02,8.4229999999999997e-07,2.6640000000000003e-01
7.2400000000000000e+02,9.0149999999999997e-07,2.6640000000000003e-01
7.2800000000000000e+02,9.6349999999999997e-07,2.6640000000000003e-01
7.3200000000000000e+02,1.0350000000000000e-06,2.6640000000000003e-01
7.3600000000000000e+02,1.1260000000000001e-06,2.6640000000000003e-01
7.4000000000000000e+02,1.2260000000000000e-06,2.6640000000000003e-01
7.4400000000000000e+02,1.3349999999999999e-06,2.6640000000000003e-01
7.4800000000000000e+02,1.4610000000000001e-06,2.6640000000000003e-01
7.5200000000000000e+02,1.6270000000000001e-06,2.6640000000000003e-01
7.5600000000000000e+02,1.7960000000000000e-06,2.6640000000000003e-01
7.6000000000000000e+02,1.9860000000000001e-06,2.6640000000000003e-01
7.6400000000000000e+02,2.2189999999999998e-06,2.6640000000000003e-01
7.6800000000000000e+02,2.4820000000000001e-06,2.6640000000000003e-01
7.7200000000000000e+02,2.7620000000000000e-06,2.6640000000000003e-01
7.7600000000000000e+02,3.0769999999999999e-06,2.6640000000000003e-01
7.8000000000000000e+02,3.5080000000000001e-06,2.6640000000000003e-01
wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,2.9360000000000003e-01
3.8400000000000000e+02,3.4880000000000000e-07,2.9360000000000003e-01
3.8800000000000000e+02,3.1210000000000000e-07,2.9360000000000003e-01
3.9200000000000000e+02,2.8120000000000000e-07,2.9360000000000003e-01
3.9600000000000000e+02,2.4870000000000000e-07,2.9360000000000003e-01
4.0000000000000000e+02,2.2760000000000000e-07,2.9360000000000003e-01
4.0400000000000000e+02,2.8620000000000001e-07,2.9360000000000003e-01
4.0800000000000000e+02,4.9510000000000003e-07,2.9360000000000003e-01
4.1200000000000000e+02,1.1610000000000000e-06,2.9360000000000003e-01
4.1600000000000000e+02,2.6340000000000001e-06,2.9360000000000003e-01
4.2000000000000000e+02,5.8409999999999996e-06,2.9360000000000003e-01
4.2400000000000000e+02,1.3590000000000000e-05,2.9360000000000003e-01
4.2800000000000000e+02,2.6860000000000000e-05,2.9360000000000003e-01
4.3200000000000000e+02,4.8529999999999998e-05,2.9360000000000003e-01
4.3600000000000000e+02,8.2029999999999999e-05,2.9360000000000003e-01
4.4000000000000000e+02,1.3260000000000000e-04,2.9360000000000003e-01
4.4400000000000000e+02,2.0440000000000001e-04,2.9360000000000003e-01
4.4800000000000000e+02,2.7540000000000003e-04,2.9360000000000003e-01
4.5200000000000000e+02,2.8739999999999999e-04,2.9360000000000003e-01
4.5600000000000000e+02,2.3520000000000000e-04,2.9360000000000003e-01
4.6000000000000000e+02,1.6569999999999999e-04,2.9360000000000003e-01
4.6400000000000000e+02,1.1569999999999999e-04,2.9360000000000003e-01
4.6800000000000000e+02,8.1329999999999996e-05,2.9360000000000003e-01
4.7200000000000000e+02,5.2830000000000001e-05,2.9360000000000003e-01
4.7600000000000000e+02,3.2480000000000001e-05,2.9360000000000003e-01
4.8000000000000000e+02,2.1560000000000000e-05,2.9360000000000003e-01
4.8400000000000000e+02,1.4320000000000000e-05,2.9360000000000003e-01
4.8800000000000000e+02,9.5449999999999992e-06,2.9360000000000003e-01
4.9200000000000000e+02,6.3679999999999998e-06,2.9360000000000003e-01
4.9600000000000000e+02,4.2889999999999999e-06,2.9360000000000003e-01
5.0000000000000000e+02,3.1319999999999998e-06,2.9360000000000003e-01
5.0400000000000000e+02,2.4480000000000001e-06,2.9360000000000003e-01
5.0800000000000000e+02,2.2100000000000000e-06,2.9360000000000003e-01
5.1200000000000000e+02,1.6410000000000000e-06,2.9360000000000003e-01
5.1600000000000000e+02,1.5760000000000000e-06,2.9360000000000003e-01
5.2000000000000000e+02,1.7310000000000000e-06,2.9360000000000003e-01
5.2400000000000000e+02,1.3319999999999999e-06,2.9360000000000003e-01
5.2800000000000000e+02,1.2240000000000001e-06,2.9360000000000003e-01
5.3200000000000000e+02,1.3500000000000000e-06,2.9360000000000003e-01
5.3600000000000000e+02,8.9149999999999996e-07,2.9360000000000003e-01
5.4000000000000000e+02,9.0179999999999999e-07,2.9360000000000003e-01
5.4400000000000000e+02,6.1170000000000000e-07,2.9360000000000003e-01
5.4800000000000000e+02,6.4290000000000002e-07,2.9360000000000003e-01
5.5200000000000000e+02,5.0620000000000002e-07,2.9360000000000003e-01
5.5600000000000000e+02,7.6219999999999998e-07,2.9360000000000003e-01
5.6000000000000000e+02,3.1500000000000000e-07,2.9360000000000003e-01
5.6400000000000000e+02,2.2130000000000000e-07,2.9360000000000003e-01
5.6800000000000000e+02,2.2900000000000000e-07,2.9360000000000003e-01
5.7200000000000000e+02,2.3670000000000000e-07,2.9360000000000003e-01
5.7600000000000000e+02,2.4439999999999999e-07,2.9360000000000003e-01
5.8000000000000000e+02,2.5450000000000001e-07,2.9360000000000003e-01
5.8400000000000000e+02,9.0210000000000001e-07,2.9360000000000003e-01
5.8800000000000000e+02,2.6679999999999998e-07,2.9360000000000003e-01
5.9200000000000000e+02,4.1619999999999998e-07,2.9360000000000003e-01
5.9600000000000000e+02,3.7150000000000001e-07,2.9360000000000003e-01
6.0000000000000000e+02,3.0149999999999999e-07,2.9360000000000003e-01
6.0400000000000000e+02,5.3939999999999997e-07,2.9360000000000003e-01
6.0800000000000000e+02,3.1030000000000002e-07,2.9360000000000003e-01
6.1200000000000000e+02,4.9900000000000001e-07,2.9360000000000003e-01
6.1600000000000000e+02,6.5860000000000003e-07,2.9360000000000003e-01
6.2000000000000000e+02,4.3239999999999998e-07,2.9360000000000003e-01
6.2400000000000000e+02,8.5619999999999995e-07,2.9360000000000003e-01
6.2800000000000000e+02,3.5979999999999998e-07,2.9360000000000003e-01
6.3200000000000000e+02,3.7000000000000000e-07,2.9360000000000003e-01
6.3600000000000000e+02,6.9090000000000003e-07,2.9360000000000003e-01
6.4000000000000000e+02,3.9140000000000002e-07,2.9360000000000003e-01
6.4400000000000000e+02,1.0049999999999999e-06,2.9360000000000003e-01
6.4800000000000000e+02,1.1360000000000000e-06,2.9360000000000003e-01
6.5200000000000000e+02,4.2380000000000002e-07,2.9360000000000003e-01
6.5600000000000000e+02,4.3550000000000000e-07,2.9360000000000003e-01
6.6000000000000000e+02,4.4719999999999998e-07,2.9360000000000003e-01
6.6400000000000000e+02,4.5950000000000001e-07,2.9360000000000003e-01
6.6800000000000000e+02,4.7199999999999999e-07,2.9360000000000003e-01
6.7200000000000000e+02,4.8640000000000001e-07,2.9360000000000003e-01
6.7600000000000000e+02,5.0220000000000004e-07,2.9360000000000003e-01
6.8000000000000000e+02,5.1900000000000003e-07,2.9360000000000003e-01
6.8400000000000000e+02,5.3769999999999995e-07,2.9360000000000003e-01
6.8800000000000000e+02,5.5970000000000002e-07,2.9360000000000003e-01
6.9200000000000000e+02,5.8469999999999999e-07,2.9360000000000003e-01
6.9600000000000000e+02,6.1080000000000004e-07,2.9360000000000003e-01
7.0000000000000000e+02,6.3929999999999996e-07,2.9360000000000003e-01
7.0400000000000000e+02,6.7179999999999997e-07,2.9360000000000003e-01
7.0800000000000000e+02,7.0900000000000001e-07,2.9360000000000003e-01
7.1200000000000000e+02,7.4730000000000003e-07,2.9360000000000003e-01
7.1600000000000000e+02,7.9029999999999998e-07,2.9360000000000003e-01
7.2000000000000000e+02,8.4229999999999997e-07,2.9360000000000003e-01
7.2400000000000000e+02,9.0149999999999997e-07,2.9360000000000003e-01
7.2800000000000000e+02,9.6349999999999997e-07,2.9360000000000003e-01
7.3200000000000000e+02,1.0350000000000000e-06,2.9360000000000003e-01
7.3600000000000000e+02,1.1260000000000001e-06,2.9360000000000003e-01
7.4000000000000000e+02,1.2260000000000000e-06,2.9360000000000003e-01
7.4400000000000000e+02,2.1110000000000002e-06,2.9360000000000003e-01
7.4800000000000000e+02,1.7579999999999999e-06,2.9360000000000003e-01
7.5200000000000000e+02,1.6270000000000001e-06,2.9360000000000003e-01
7.5600000000000000e+02,1.7960000000000000e-06,2.9360000000000003e-01
7.6000000000000000e+02,1.9860000000000001e-06,2.9360000000000003e-01
7.6400000000000000e+02,2.2189999999999998e-06,2.9360000000000003e-01
7.6800000000000000e+02,2.4820000000000001e-06,2.9360000000000003e-01
7.7200000000000000e+02,4.2849999999999996e-06,2.9360000000000003e-01
7.7600000000000000e+02,6.1530000000000002e-06,2.9360000000000003e-01
7.8000000000000000e+02,3.5090000000000002e-06,2.9360000000000003e-01
wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,2.8989999999999999e-01
3.8400000000000000e+02,3.4880000000000000e-07,2.8989999999999999e-01
3.8800000000000000e+02,3.1210000000000000e-07,2.8989999999999999e-01
3.9200000000000000e+02,2.8120000000000000e-07,2.8989999999999999e-01
3.9600000000000000e+02,2.4870000000000000e-07,2.8989999999999999e-01
4.0000000000000000e+02,2.8040000000000000e-07,2.8989999999999999e-01
4.0400000000000000e+02,3.4620000000000002e-07,2.8989999999999999e-01
4.0800000000000000e+02,2.9579999999999999e-07,2.8989999999999999e-01
4.1200000000000000e+02,6.1750000000000002e-07,2.8989999999999999e-01
4.1600000000000000e+02,2.4370000000000001e-06,2.8989999999999999e-01
4.2000000000000000e+02,6.0050000000000001e-06,2.8989999999999999e-01
4.2400000000000000e+02,1.3970000000000000e-05,2.8989999999999999e-01
4.2800000000000000e+02,2.7250000000000002e-05,2.8989999999999999e-01
4.3200000000000000e+02,4.8850000000000002e-05,2.8989999999999999e-01
4.3600000000000000e+02,8.2789999999999998e-05,2.8989999999999999e-01
4.4000000000000000e+02,1.3400000000000000e-04,2.8989999999999999e-01
4.4400000000000000e+02,2.0570000000000001e-04,2.8989999999999999e-01
4.4800000000000000e+02,2.7700000000000001e-04,2.8989999999999999e-01
4.5200000000000000e+02,2.8980000000000000e-04,2.8989999999999999e-01
4.5600000000000000e+02,2.3760000000000000e-04,2.8989999999999999e-01
4.6000000000000000e+02,1.6799999999999999e-04,2.8989999999999999e-01
4.6400000000000000e+02,1.1720000000000000e-04,2.8989999999999999e-01
4.6800000000000000e+02,8.2269999999999997e-05,2.8989999999999999e-01
4.7200000000000000e+02,5.3959999999999998e-05,2.8989999999999999e-01
4.7600000000000000e+02,3.3189999999999999e-05,2.8989999999999999e-01
4.8000000000000000e+02,2.1260000000000000e-05,2.8989999999999999e-01
4.8400000000000000e+02,1.4490000000000000e-05,2.8989999999999999e-01
4.8800000000000000e+02,1.0130000000000000e-05,2.8989999999999999e-01
4.9200000000000000e+02,7.0899999999999999e-06,2.8989999999999999e-01
4.9600000000000000e+02,4.0369999999999996e-06,2.8989999999999999e-01
5.0000000000000000e+02,3.3249999999999999e-06,2.8989999999999999e-01
5.0400000000000000e+02,2.4410000000000000e-06,2.8989999999999999e-01
5.0800000000000000e+02,1.7510000000000000e-06,2.8989999999999999e-01
5.1200000000000000e+02,1.3310000000000000e-06,2.8989999999999999e-01
5.1600000000000000e+02,1.3969999999999999e-06,2.8989999999999999e-01
5.2000000000000000e+02,1.4580000000000001e-06,2.8989999999999999e-01
5.2400000000000000e+02,1.5510000000000001e-06,2.8989999999999999e-01
5.2800000000000000e+02,8.2300000000000000e-07,2.8989999999999999e-01
5.3200000000000000e+02,8.2949999999999996e-07,2.8989999999999999e-01
5.3600000000000000e+02,1.0559999999999999e-06,2.8989999999999999e-01
5.4000000000000000e+02,4.6520000000000001e-07,2.8989999999999999e-01
5.4400000000000000e+02,4.2039999999999998e-07,2.8989999999999999e-01
5.4800000000000000e+02,6.5710000000000003e-07,2.8989999999999999e-01
5.5200000000000000e+02,4.9139999999999997e-07,2.8989999999999999e-01
5.5600000000000000e+02,2.0709999999999999e-07,2.8989999999999999e-01
5.6000000000000000e+02,2.1390000000000000e-07,2.8989999999999999e-01
5.6400000000000000e+02,2.9649999999999999e-07,2.8989999999999999e-01
5.6800000000000000e+02,6.1030000000000001e-07,2.8989999999999999e-01
5.7200000000000000e+02,3.5479999999999997e-07,2.8989999999999999e-01
5.7600000000000000e+02,2.4439999999999999e-07,2.8989999999999999e-01
