wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,3.8690000000000002e+00
3.8400000000000000e+02,3.4880000000000000e-07,3.8690000000000002e+00
3.8800000000000000e+02,3.1210000000000000e-07,3.8690000000000002e+00
3.9200000000000000e+02,2.8120000000000000e-07,3.8690000000000002e+00
3.9600000000000000e+02,2.4870000000000000e-07,3.8690000000000002e+00
4.0000000000000000e+02,2.2760000000000000e-07,3.8690000000000002e+00
4.0400000000000000e+02,2.1080000000000001e-07,3.8690000000000002e+00
4.0800000000000000e+02,1.9929999999999999e-07,3.8690000000000002e+00
4.1200000000000000e+02,1.9160000000000000e-07,3.8690000000000002e+00
4.1600000000000000e+02,1.8930000000000001e-07,3.8690000000000002e+00
4.2000000000000000e+02,1.8990000000000000e-07,3.8690000000000002e+00
4.2400000000000000e+02,1.9259999999999999e-07,3.8690000000000002e+00
4.2800000000000000e+02,1.9719999999999999e-07,3.8690000000000002e+00
4.3200000000000000e+02,5.9979999999999996e-07,3.8690000000000002e+00
4.3600000000000000e+02,7.0950000000000005e-07,3.8690000000000002e+00
4.4000000000000000e+02,2.1630000000000000e-07,3.8690000000000002e+00
4.4400000000000000e+02,3.9999999999999998e-07,3.8690000000000002e+00
4.4800000000000000e+02,1.0359999999999999e-06,3.8690000000000002e+00
4.5200000000000000e+02,3.7119999999999999e-07,3.8690000000000002e+00
4.5600000000000000e+02,9.4669999999999997e-07,3.8690000000000002e+00
4.6000000000000000e+02,1.0650000000000000e-06,3.8690000000000002e+00
4.6400000000000000e+02,1.3360000000000000e-06,3.8690000000000002e+00
4.6800000000000000e+02,2.3080000000000002e-06,3.8690000000000002e+00
4.7200000000000000e+02,4.5210000000000004e-06,3.8690000000000002e+00
4.7600000000000000e+02,7.7640000000000005e-06,3.8690000000000002e+00
4.8000000000000000e+02,1.2989999999999999e-05,3.8690000000000002e+00
4.8400000000000000e+02,2.0900000000000000e-05,3.8690000000000002e+00
4.8800000000000000e+02,3.3030000000000001e-05,3.8690000000000002e+00
4.9200000000000000e+02,5.1230000000000002e-05,3.8690000000000002e+00
4.9600000000000000e+02,7.7609999999999997e-05,3.8690000000000002e+00
5.0000000000000000e+02,1.1590000000000000e-04,3.8690000000000002e+00
5.0400000000000000e+02,1.5710000000000000e-04,3.8690000000000002e+00
5.0800000000000000e+02,1.9630000000000000e-04,3.8690000000000002e+00
5.1200000000000000e+02,2.2350000000000001e-04,3.8690000000000002e+00
5.1600000000000000e+02,2.2939999999999999e-04,3.8690000000000002e+00
5.2000000000000000e+02,2.1049999999999999e-04,3.8690000000000002e+00
5.2400000000000000e+02,1.7919999999999999e-04,3.8690000000000002e+00
5.2800000000000000e+02,1.4740000000000000e-04,3.8690000000000002e+00
5.3200000000000000e+02,1.1980000000000000e-04,3.8690000000000002e+00
5.3600000000000000e+02,9.6529999999999999e-05,3.8690000000000002e+00
5.4000000000000000e+02,7.5259999999999994e-05,3.8690000000000002e+00
5.4400000000000000e+02,5.7040000000000003e-05,3.8690000000000002e+00
5.4800000000000000e+02,4.3720000000000002e-05,3.8690000000000002e+00
5.5200000000000000e+02,3.3609999999999998e-05,3.8690000000000002e+00
5.5600000000000000e+02,2.5590000000000001e-05,3.8690000000000002e+00
5.6000000000000000e+02,1.9460000000000000e-05,3.8690000000000002e+00
5.6400000000000000e+02,1.4490000000000000e-05,3.8690000000000002e+00
5.6800000000000000e+02,1.1140000000000000e-05,3.8690000000000002e+00
5.7200000000000000e+02,8.7579999999999998e-06,3.8690000000000002e+00
5.7600000000000000e+02,6.8399999999999997e-06,3.8690000000000002e+00
5.8000000000000000e+02,5.2379999999999997e-06,3.8690000000000002e+00
5.8400000000000000e+02,4.0579999999999999e-06,3.8690000000000002e+00
5.8800000000000000e+02,3.4599999999999999e-06,3.8690000000000002e+00
5.9200000000000000e+02,2.7389999999999999e-06,3.8690000000000002e+00
5.9600000000000000e+02,1.3799999999999999e-06,3.8690000000000002e+00
6.0000000000000000e+02,1.8589999999999999e-06,3.8690000000000002e+00
6.0400000000000000e+02,1.5060000000000001e-06,3.8690000000000002e+00
6.0800000000000000e+02,1.5519999999999999e-06,3.8690000000000002e+00
6.1200000000000000e+02,1.2400000000000000e-06,3.8690000000000002e+00
6.1600000000000000e+02,5.0159999999999999e-07,3.8690000000000002e+00
6.2000000000000000e+02,3.3929999999999997e-07,3.8690000000000002e+00
6.2400000000000000e+02,4.4610000000000000e-07,3.8690000000000002e+00
6.2800000000000000e+02,5.5520000000000000e-07,3.8690000000000002e+00
