wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,2.1160000000000001e+00
3.8400000000000000e+02,3.4880000000000000e-07,2.1160000000000001e+00
3.8800000000000000e+02,3.1210000000000000e-07,2.1160000000000001e+00
3.9200000000000000e+02,2.8120000000000000e-07,2.1160000000000001e+00
3.9600000000000000e+02,4.6660000000000001e-07,2.1160000000000001e+00
4.0000000000000000e+02,2.2760000000000000e-07,2.1160000000000001e+00
4.0400000000000000e+02,2.1080000000000001e-07,2.1160000000000001e+00
4.0800000000000000e+02,1.9929999999999999e-07,2.1160000000000001e+00
4.1200000000000000e+02,1.9160000000000000e-07,2.1160000000000001e+00
4.1600000000000000e+02,1.8930000000000001e-07,2.1160000000000001e+00
4.2000000000000000e+02,1.8990000000000000e-07,2.1160000000000001e+00
4.2400000000000000e+02,1.9259999999999999e-07,2.1160000000000001e+00
4.2800000000000000e+02,1.9719999999999999e-07,2.1160000000000001e+00
4.3200000000000000e+02,2.8239999999999999e-07,2.1160000000000001e+00
4.3600000000000000e+02,3.0969999999999997e-07,2.1160000000000001e+00
4.4000000000000000e+02,2.1630000000000000e-07,2.1160000000000001e+00
4.4400000000000000e+02,2.2329999999999999e-07,2.1160000000000001e+00
4.4800000000000000e+02,4.2609999999999998e-07,2.1160000000000001e+00
4.5200000000000000e+02,2.3270000000000001e-07,2.1160000000000001e+00
4.5600000000000000e+02,2.3670000000000000e-07,2.1160000000000001e+00
4.6000000000000000e+02,2.3809999999999999e-07,2.1160000000000001e+00
4.6400000000000000e+02,2.3799999999999999e-07,2.1160000000000001e+00
4.6800000000000000e+02,2.3629999999999999e-07,2.1160000000000001e+00
4.7200000000000000e+02,4.3270000000000000e-07,2.1160000000000001e+00
4.7600000000000000e+02,3.0759999999999998e-07,2.1160000000000001e+00
4.8000000000000000e+02,5.2590000000000002e-07,2.1160000000000001e+00
4.8400000000000000e+02,2.1740000000000000e-07,2.1160000000000001e+00
4.8800000000000000e+02,2.1170000000000000e-07,2.1160000000000001e+00
4.9200000000000000e+02,2.0580000000000000e-07,2.1160000000000001e+00
4.9600000000000000e+02,1.9950000000000001e-07,2.1160000000000001e+00
5.0000000000000000e+02,1.9310000000000000e-07,2.1160000000000001e+00
5.0400000000000000e+02,1.8830000000000001e-07,2.1160000000000001e+00
5.0800000000000000e+02,1.8400000000000001e-07,2.1160000000000001e+00
5.1200000000000000e+02,4.1479999999999998e-07,2.1160000000000001e+00
5.1600000000000000e+02,2.5180000000000002e-07,2.1160000000000001e+00
5.2000000000000000e+02,2.1400000000000001e-07,2.1160000000000001e+00
5.2400000000000000e+02,4.8820000000000004e-07,2.1160000000000001e+00
5.2800000000000000e+02,3.5870000000000000e-07,2.1160000000000001e+00
5.3200000000000000e+02,3.6329999999999998e-07,2.1160000000000001e+00
5.3600000000000000e+02,2.3570000000000000e-07,2.1160000000000001e+00
